	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
dampferzeuger	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Als mittelständischer, modern ausgerichteter Systemanbieter von Dampferzeugern und Wärmetauschern, mit hochqualifizierten Mitarbeitern, einem modernen Maschinenpark und weltweiten Geschäftsbeziehungen, suchen wir ab sofort einen Schweißfachingenieur/ Schweißfachmann (m/w).
energieübertragungsanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
feststoffkessel	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
feuerungsautomat	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Entwicklung und Produktbetreuung von Heizungsregelungen, Feuerungsautomaten und Regelung für Heizungsprodukte, insbesondere:
frequenzumformer	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Kenntnisse im Bereich Antriebstechnik (Frequenzumformer und Servotechnik ), Regelstrecken und Mess- und Regeltechnik
generator/umrichter	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Mindestens 2 Jahre Erfahrung in Generator/Umrichter Entwicklung
grid	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Expertenwissen in der Datenbankadministration Oracle (Oracle-Utilities, Grid Control
ground-power-units	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								HEIDEN GmbH entwickelt, fertigt und vertreibt DC-und AC-Netzgeräte, Stromversorgungssysteme, elektronische Lasten, Ladegeräte, Ground-Power-Units, Messgeräte und Testsysteme, die Anwendung in Industrie, Forschung und Entwicklung finden.
heizkamin	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
heizkessel	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								idealerweise mit abgeschlossener Berufsausbildung und entsprechender Berufserfahrung für die Montage von Heizkesseln und Rohrleitungen.
heizölanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								* evtl Erfahrung im Bereich Heizölanlagen
heizung	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
heizungsanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
mittelspannungsanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
mittelspannungsschaltanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Erfahrung in der Entwicklung und Simulation von Mittelspannungsschaltanlagen,
s4wt	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Erfahrungen mit der Software Flex, GH Bladed, S4WT und Simpack Software
schaltanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
schwachstromanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Fernmeldeanlagenelektroniker/in, Elektroanlagenmonteur/in oder Elektroinstallateur/in im bundesweiten Einsatz für die Montage von Breitbandanlagen, Netzwerken und Schwachstromanlagen.
solaranllage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
steinof	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
strömungsmaschine	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Kenntnisse in den Themen der Energietechnik, Kraftwerkstechnik, Thermodynamik, Strömungsmaschinen oder Prozesstechnik von Vorteil
turbomaschine	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
vrv-anlagen	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung	Art Klimaanlage							NA
wärmeabzugsanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Arbeiten in der Installation, Inbetriebnahme und Wartung von Brandmeldeanlagen, Rauch- und Wärmeabzugsanlagen, Videosystemen und Sprechanlagen.
wärmepumpanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
wärmepumpe	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
wärme-pumpen	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Wir sind eine Tochter des niederländischen Konzerns Aalberts Industries NV und ein führender Hersteller von Schnellmontagesystemen für Heizung, Solar und Wärme-pumpen.
wasserkraftanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
windenergieanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								NA
windkraftanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Die GTM Getriebetechnik Magdeburg GmbH hat sich auf die Produktion von Maschinen und Anlagen, Zahnrädern und Zahnkränzen als Bauteile von Windkraftanlagen sowie großen Getriebekomponenten bis 3.000 mm Durchmesser und Einzelgewichten bis 10.000 kg spezialisiert.    Baumaschinen und Landmaschinen, Windkraftanlagen und Kreuzfahrschiffe, Maschinen für die Lebensmittelindustrie, die Abfallwirtschaft, die Betonindustrie und die Holzbearbeitung ­ in den unterschiedlichsten Bereichen tun Schweißbaugruppen aus unserem Hause zuverlässig ihren Dienst.
windkraft-anlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Erfahrungen im Bereich Windkraft-Anlagen
hochspannungsgerät	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Sehr gute Kenntnisse im Bereich Hochspannungsgeräte
lüftungsgerät	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Montage von Zu- und Abluftanlagen, wie Lüftungsgeräte, Kanäle und Rohre
spannungswandler	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								In einem dynamischen Wachstumsfeld bearbeiten Sie die Konzeptentwicklung und Realisierung von Serienprojekten sowie Vorentwicklungsprojekte zu Spannungswandlern und Elektroniken für intelligente Speichersysteme.
stromrichter	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Sie sind verantwortlich für die Spezifikation, den Entwurf und die Verifizierung von Software für Stromrichter und Systeme der Bahntechnik.  Sie zeichnen verantwortlich für die Inbetriebsetzung von Stromrichtern und Systemen.
straßenbaumaschine	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Straßenbaumaschinen, Geräten und Werkzeugen    Straßenbaumaschinen, Geräten und Werkzeugen
wurzelstockfräse	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Es sollten keine Ängste bei der Bedienung von Maschinen (Hubarbeitsbühnen, Wurzelstockfräsen, Häcksler und Traktoren) bestehen.
montagehilfsgerät	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Sicherer Umgang mit Montagehilfsgeräten und Messmitteln
baugerät	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								welche Werkzeuge, Baugeräte und -maschinen es gibt und wie sie gehandhabt werden    Wir vertreiben von Handwerkzeug bis zum Hochbaukran die gesamte Palette der Baugeräte und Baumaschinen.
baumaschin	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Für unseren Betrieb in Uelsen, der sich auf Nutzfahrzeugservice, Anhänger und Baumaschinen spezialisiert hat, suchen wir zum 01.08.2011eine/n
baumaschine	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								NA
baumaschinenbereich/agrar	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								# Erfahrung im Nutzfahrzeugbereich oder Baumaschinenbereich/Agrar erforderlich
betonmischer	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Bewerber/innen sollten über Erfahrungen mit Sattelzügen, Betonmischern oder Betonpumpen auf Baustellen verfügen.
betonmischgerät	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								NA
estrichpumpe	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Bedienen von Baumaschinen (Estrichpumpe) sowie Estricharbeiten (Glätten) auf unseren Baustellen im Großraum N-FÜ-ER
fertiger/bohle	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								NA
forstgerät	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								(oder C1E) ist zwingend erforderlich, Kenntnisse im Umgang mit Forstgeräten (Motorsäge etc.) sind von Vorteil.
fütterungsanlage	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								NA
gartenmaschine	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Bedienen von Gartenmaschinen und -geräten
häcksler	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Führerschein für große Landmaschinen (Mähdrescher, Häcksler etc.) und umfassende Berufserfahrung im Führen von Häckslern/Mähdreschern sind zwingend erforderlich
kleinbaumaschine	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								Baumaschinenführer (m/w) für Bagger, Radlader und Kleinbaumaschinen.
landmaschine	(2F) Baumaschinen/ Landwirtschaftsmaschinen	(2F)	Baumaschinen/ Landwirtschaftsmaschinen								NA
finanzbuchhaltungssoftware	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								Sicherer Umgang mit gängiger Finanzbuchhaltungssoftware, Warenwirtschaftssystemen sowie MS-Office
finanzbuchhaltungssytem	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								Darüber hinaus haben Sie überdurchschnittliche Kenntnisse in der Anwednung von MS Excel (und den übrigen MS-Office-Anwendungen) sowie Erfahrungen mit den wichtigsten ERP- und Finanzbuchhaltungssytemen (z.B.
finanzsoftware	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								sicherer Umgang mit Finanzsoftware und MS Office
kalkulations-system	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								Professionellen Umgang mit gängigen CAD und Kalkulations-Systemen.
sage-produkt	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								Kenntnisse in SAP, Sage-Produkten oder Navision
sd/crm	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								Sie verfügen über gute Kenntnisse in der gängigen Anwendersoftware sowie SAP R3 (SD/CRM)
skr04	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								Sie sollten über eine abgeschlossene kaufmännische Ausbildung sowie über Kenntnisse in Datev (SKR04) und Excel verfügen.
steuerberater-branchen-softwar	(5A) Buchhaltungs-SW	(5A)	Buchhaltungs-SW								Fundierte Erfahrungen mit MS Office und Steuerberater-Branchen-Software werden vorausgesetzt.
2d/3d	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								* Sichere Beherrschung von Bentley Microstation 2D/3D und CATIA V5
2d/3d-cad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
2d/3d-cad-systemen	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung im Umgang mit 2D/3D-CAD-Systemen, vorzugsweise Solid Works
3d	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
3d via	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Grundkenntnisse in CATIA V5, 3D Via, Iso-Draw und XML    Grundkenntnisse in CATIA V5, 3D Via, Iso-Draw und XML
3d via	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Grundkenntnisse in CATIA V5, 3D Via, Iso-Draw und XML    Grundkenntnisse in CATIA V5, 3D Via, Iso-Draw und XML
3d/cad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Wir erwarten umfangreiche Kenntnisse in 3D/CAD (vorzugsweise Inventor), den gängigen Office Anwendungen sowie Englisch in Wort und Schrift.
3d-cad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
3d-cad-konstruktion	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Fundierte Kenntnisse in der 3D-CAD-Konstruktion (vorzugsweise SolidWorks)
3-d-cad-konstruktion	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								· Sie besitzen Kenntnisse in der 3-D-CAD-Konstruktion, vorzugsweise Solid Works sowie den
3d-cad-planungstool	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse in den 3D-CAD-Planungstools werden erwartet.
3d-cad-programmen	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
3d-cad-solidwork	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								gute bis sehr gute Kenntnisse in 3D-CAD-Solidworks und MS Office
nx	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								ibb ist der Spezialist auf den CAD-Systemen Pro/ENGINEER, CATIA V5 und NX.    CAD-Kenntnisse: NX und MicroStation,
nx5	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Gute Kenntnisse in NX5, Blechmodul, Modeling und Zeichnungsableitungen,
nx6	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Umsetzung von Kundenaufträgen in CAD (NX6)
orcad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
partdesign	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								* CATIA V5 (PartDesign, AssemblyDesign, Drafting, ShapeDesign, GPS)
patran	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
patran/nastran	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erstellung/Änderung von FE-Modellen (vorzugsweise in PATRAN/NASTRAN und HYPERWORKS)
pdm system	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
pdms	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Vertraut im Umgang mit der Software PDMS, PDS oder Auto CAD    Kenntnisse in einem 3D-Anlagenplanungstool wie beispielsweise Intergraph-PDS, SmartPlant, PDMS oder Microstation können Sie vorzugsweise vorweisen
pdmu	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung in der Anwendung von CATIA V5, PDMU und KVS wünschenswert
pds-3d	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sehr wichtig sind Erfahrungen im Umgang mit PDS-3D!
peps	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Erfahrung im Umgang mit CAD / CAM- System ( Peps )
plancal	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								gute Kenntnisse in AutoCAD, Plancal
Pro E	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Dafür stehen Ihnen moderne CAD-Systeme (Pro E und Solid Works) und einschlägige Berechnungssoftware zur Verfügung.
pro E	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Dafür stehen Ihnen moderne CAD-Systeme (Pro E und Solid Works) und einschlägige Berechnungssoftware zur Verfügung.
pro/e	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Optimalerweise mehrjährige Praxiserfahrung und sicherer Umgang mit den gängigen CAD-Systemen NX5, Catia V5 oder Pro/E    Erfahrung mit CAD-Software (CATIA V5, PRO/E, Smarteam, ¿)
pro/engineer®	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sie haben Freude an den täglichen Herausforderungen im CAD-Umfeld und Konstruktionserfahrungen mit einem 3D-CAD-System, idealerweise mit den CAD-Systemen creo¿ Elements/Pro bzw. Pro/ENGINEER®, CATIA oder SIEMENS  Sie haben Freude an den täglichen Herausforderungen im CAD-Umfeld und Konstruktionserfahrungen mit einem 3D-CAD-System, idealerweise mit den CAD-Systemen creo¿ Elements/Pro bzw. Pro/ENGINEER®, CATIA oder SIEMENS
pro/w wildfire 4	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Sehr gute Kenntnisse in Pro/W Wildfire 4 oder Catia V5
pro_engineer	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
proe	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
pro-e	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse in CATIA V5, ICEM-SURF, Pro-E o.
proengineer	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
pro-engineer	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
proenginer	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Kenntnisse im Umgang mit CAD-SolidWorks, Inventor und ProEnginer
prosteel	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Der Einsatz von CAD-Systemen (ProSteel, Microstation) ist Ihnen vertraut.
pspice	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
racos	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Gute Kenntnisse im Bereich Automatisierungstechnik, Racos, Siemens S7
rib	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Statikprogramme wie Sofistik, RIB oder R-Stab bedienen Sie routiniert.
robcad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								Idealerweise Kenntnisse in Robcad (eM-Workplace)
robcat	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								*fundierte Kenntnisse in 3D-Systemen möglichst in Catia V5, Fides und Robcat
rocad	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
ruplan	(5B) computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)	(5B)	computerunterstützes Arbeiten (z.B.CAD, PPS, CAT, CAQ, CAE, CAM)								NA
